"experiment","game","treatment","metric","simulation_mean","mc_se","mc_lower","mc_upper","n_seeds","seed_sd","seed_p10","seed_p90","snapshot_mean"
"resolution25","threshold","MI","group_relative_contribution",0.519939038086,0.0172412492364703,0.483190185236043,0.556687890935957,16,0.0689649969458811,0.445363997396,0.5936541015625,0.52071940104175
"resolution25","threshold","MI","surplus",0.137790779622398,0.031530742711199,0.0705845923994508,0.204996966845345,16,0.126122970844796,0.012474544270835,0.277964388021,0.138460286458352
"resolution25","threshold","MI","gini",0.150601408670925,0.0123236558846572,0.124334157935937,0.176868659405913,16,0.0492946235386288,0.09932746375035,0.209578616951,0.149991000991487
"resolution25","threshold","MI","success",0.78927578125,0.0515887232240884,0.679317020578008,0.899234541921992,16,0.206354892896354,0.54940625,0.98875,0.791015625
"minimum_signal","linear","FE","group_relative_contribution",0.592185327148375,0.00629760986514507,0.578762289463199,0.605608364833551,16,0.0251904394605803,0.56006640625,0.6251396484375,0.586916503906188
"minimum_signal","linear","FE","surplus",1.30280771972688,0.0138547417035136,1.27327703681907,1.33233840263468,16,0.0554189668140546,1.23214609375,1.37530722656,1.29121630859312
"minimum_signal","linear","FE","gini",0.0488046679804,0.00088897054893465,0.0469098721078572,0.0506994638529428,16,0.0035558821957386,0.04475195339395,0.05352657494285,0.04930179733775
"minimum_signal","linear","AI","group_relative_contribution",0.620518066406187,0.00547549436828336,0.608847326423195,0.63218880638918,16,0.0219019774731334,0.59709609375,0.6466947916665,0.625088704427188
"minimum_signal","linear","AI","surplus",1.56892982421813,0.0132477234237998,1.54069297014677,1.59716667828948,16,0.052990893695199,1.51018393229,1.625444348955,1.58094075520938
"minimum_signal","linear","AI","gini",0.0580181676213,0.00116506516605457,0.0555348900025655,0.0605014452400345,16,0.00466026066421827,0.0539732938301,0.06292018493085,0.0575176104048375
"minimum_signal","linear","MI","group_relative_contribution",0.537782413737,0.00333524024883644,0.530673517424285,0.544891310049715,16,0.0133409609953458,0.5254606119795,0.558927734375,0.539466959635437
"minimum_signal","linear","MI","surplus",1.02599635416688,0.00629869293760426,1.0125710079674,1.03942170036635,16,0.025194771750417,1.0030354166685,1.064941822915,1.02860026041706
